label,precision,recall,f1
0,0.9333333333333333,0.26666666666666666,0.4148148148148148
15,0.6666666666666666,0.8484848484848485,0.7466666666666666
13,0.7714285714285715,0.7941176470588235,0.782608695652174
7,0.6923076923076923,0.8181818181818182,0.7500000000000001
17,nan,0.0,nan
8,0.5294117647058824,0.6428571428571429,0.5806451612903226
10,0.4827586206896552,0.7,0.5714285714285714
5,0.3,1.0,0.4615384615384615
9,0.75,0.5,0.6
16,0.4230769230769231,0.7857142857142857,0.55
12,0.631578947368421,0.8571428571428571,0.7272727272727273
2,0.5,1.0,0.6666666666666666
3,0.5,0.7142857142857143,0.588235294117647
6,0.375,0.75,0.5
1,0.3076923076923077,1.0,0.47058823529411764
11,0.6,1.0,0.7499999999999999
4,0.75,1.0,0.8571428571428571
14,nan,0.0,nan
