Class,Accuracy,F1
0,0.7142857142857143,0.5405405405405406
1,1.0,0.4
2,0.7142857142857143,0.625
3,0.7894736842105263,0.8571428571428571
4,0.18181818181818182,0.3076923076923077
5,1.0,0.8461538461538461
6,0.06451612903225806,0.12121212121212122
7,0.5,0.35294117647058826
8,0.46875,0.6
9,0.5555555555555556,0.5555555555555556
10,0.38461538461538464,0.30303030303030304
11,0.07407407407407407,0.13333333333333333
12,0.6875,0.6111111111111112
13,0.7916666666666666,0.7169811320754716
14,0.5454545454545454,0.5714285714285714
15,0.9230769230769231,0.35294117647058826
16,0.46153846153846156,0.4897959183673469
17,0.0,0.0
